hotel_code,Hotels ,Location,star,No of rooms,Single Half Board Rate,Double Half Board Rate,Triple Half Board Rate,Single Full Board Rate,Double Full Board Rate,Triple Full Board Rate,Single BB Rate,Double BB Rate,Triple BB Board Rate,Remarks,Category_Location,Market,Guide Accomadation,Website
57,ROYAL CLASSIC ,KANDY,4,,59,65,89,69,75,99,49,55,79,Valid till Oct 24 / Rates are included with VAT,SPECIAL RATES,Indian,,
58,ROYAL KANDYAN,KANDY,4,,50,55,75,60,65,85,40,45,65,Valit till Oct 24,SPECIAL RATES,Indian,,
59,SANDRIANA LAKE VIEW,KANDY,3,,47,53,77,57,63,87,37,43,67,Valid till Oct 24 / Rates are included with VAT,SPECIAL RATES,Indian,,
68,SWISS RESIDENCE,KANDY,4,,55,60,90,65,70,100,45,50,80,Valid till Oct 24,SPECIAL RATES,Indian,,
77,THILANKA,KANDY,4,,55,60,90,65,70,100,45,50,80,Valid ,SPECIAL RATES,Indian,,
78,TREE OF LIFE,KANDY,3,,50,55,70,60,65,80,40,45,60,,KANDY,Indian,,
82,VICTORIA GOLF CLUB,KANDY,4,,50,55,75,60,65,85,40,45,65,FIT Rate,SPECIAL RATES,Indian,,
82,VICTORIA GOLF CLUB,KANDY,4,,45,50,70,55,60,80,35,40,60,GIT Rate,SPECIAL RATES,Indian,,
80,TUURYA KALUTARA,KALUTARA,5,,70,70,100,80,80,110,60,60,90,Valid - AUG to Oct 25,SPECIAL RATES,Indian,,
26,GREEN GRASS HOTEL,JAFFNA,3,,70,75,80,80,85,90,60,65,70,,JAFFNA,Indian,,Green Grass Hotel & Restaurant
33,J HOTELS JAFFNA,JAFFNA,3,,65,70,80,75,80,90,55,60,70,,JAFFNA,Indian,,Booking.com: Hotels in Jaffna. Book your hotel now!
34,JAFFNA HERITAGE HOTEL,JAFFNA,4,,65,50,60,75,60,70,55,40,50,,JAFFNA,Indian,,Landing Page - Heritage (jaffnaheritage.lk)
81,VALAMPURI HOTEL,JAFFNA,3,,65,70,80,75,80,90,55,60,70,,JAFFNA,Indian,,Booking.com: Hotels in Jaffna. Book your hotel now!
71,TEMPLE TREE,INDURUWA,4,,55,60,90,65,70,100,45,50,80,Valid-SEP to OCT 24,SPECIAL RATES,Indian,,
29,ShangriLa,HAMBANTOTA,3,,80,80,112,90,90,122,70,70,102,Valid - AUG to Oct 24,SPECIAL RATES,Indian,,
8,CEYLONI SIGIRIYA,HABARANA RD SIGIRIYA,3,15,50,55,100,60,65,110,40,45,90,,DAMBULLA,Indian,,"SIGIRI HERITANCE VILLA - Updated 2024 Prices & Lodge Reviews (Sigiriya, Sri Lanka) (tripadvisor.com)"
2,ACME GRAND ,HABARANA,3,70,55,60,70,65,70,80,45,50,60,,DAMBULLA,Indian,,
11,CINNAMON LODGE,HABARANA,5,,85,90,130,95,100,140,75,80,120,Valid till Oct 24,SPECIAL RATES,Indian,,
27,HABARANA VILLAGE BY CINNAMON,HABARANA,4,,75,80,120,85,90,130,65,70,110,Valid till Oct 24,SPECIAL RATES,Indian,,
52,PINTHALIYA RESOR AND SPA,HABARANA,4,35,55,70,80,65,80,90,45,60,70,,DAMBULLA,Indian,,https://acmegrandhotel.com/
60,SAUNTER PARADISE,HABARANA,3,25,60,65,70,70,75,80,50,55,60,,DAMBULLA,Indian,,Pinthaliya Resort | Hotels in Sigiriya | Hotels in Habarana | Official Site
75,THE OTHER CORNER ,HABARANA,3,,65,80,110,75,90,120,55,70,100,Valid till 15th Novemebr / ,SPECIAL RATES,Indian,,
29,Jetwing hotel,GALLE,3,,80,80,112,90,90,122,70,70,102,Valid - AUG to Oct 24,SPECIAL RATES,Indian,,
1,88TH ELLA,ELLA,3,,90,95,100,100,105,110,80,85,90,,ELLA,Indian,,88th Ella Hotel : 88th Hotels and Resorts (88lanka.com)
41,MOI ELLA,ELLA,4,,70,75,90,80,85,100,60,65,80,,ELLA,Indian,,Moi Ella (moihotels.com)
54,RAWAN FACE HOTEL,ELLA,3,,70,75,80,80,85,90,60,65,70,,ELLA,Indian,,Rawanface – Hotel
64,SIGIRIYA FOREST EDGE (MARINO),DAMBULLA,3,15,75,80,90,85,90,100,65,70,80,,DAMBULLA,Indian,,SAUNTER PARADISE HOTEL - Kimbissa Hotel Reviews (tripadvisor.com)
66,SIGIRIYANA BY THILANKA,DAMBULLA,4,,55,60,90,65,70,100,45,50,80,Valid till Oct,SPECIAL RATES,Indian,,
10,CINNAMON LAKESIDE,COLOMBO,5,,90,95,132,100,105,142,80,85,122,BB RATES,SPECIAL RATES,Indian,,
24,GRAND ORIENTAL HOTEL,COLOMBO,3,,47,62,83,57,72,93,37,52,73,Valid - Nov 24,SPECIAL RATES,Indian,,
24,GRAND ORIENTAL HOTEL,COLOMBO,3,,37,48,60,47,58,70,27,38,50,BB RATES,SPECIAL RATES,Indian,,
49,OCEAN EDGE,COLOMBO,3,,55,60,70,65,70,80,45,50,60,Valid till Oct 24,SPECIAL RATES,Indian,,
48,OCCIDENTAL EDEN,BERUWALA,5,,70,70,110,80,80,120,60,60,100,Superior Land side rooms category/Valid- Oct 24,SPECIAL RATES,Indian,,
48,OCCIDENTAL EDEN,BERUWALA,5,,75,75,115,85,85,125,65,65,105,Superior Ocean side rooms category/Valid- Oct 24,SPECIAL RATES,Indian,,
70,TANGERINE BEACH,BENTOTA/KALUTARA,4,,65,60,85,75,70,95,55,50,75,Valid- Till Oct 24,DOWN SOUTH,Indian,,
13,COCO ROYAL (RATHNA BEACH RESORT),BENTOTA,3,,65,70,100,75,80,110,55,60,90,,DOWN SOUTH,Indian,,
31,HIBISCUS ,BENTOTA,3,,60,65,80,70,75,90,50,55,70,,DOWN SOUTH,Indian,,
69,TAJ BENTOTA,BENTOTA,5,,150,150,185,160,160,195,140,140,175,Free upgrade to HB - Valid till 31st October,SPECIAL RATES,Indian,,
76,THE PALMS,BENTOTA,4,,70,80,115,80,90,125,60,70,105,Valid- Till Oct 25,DOWN SOUTH,Indian,,
85,WUNDABAR,BENTOTA,3,,50,55,90,60,65,100,40,45,80,,DOWN SOUTH,Indian,,
13,R Degrees,AMBALANGODA,3,,65,70,100,75,80,110,55,60,90,,DOWN SOUTH,Indian,,
29,HERITANCE AHUNGALLA,AHUNGALLA,5,,80,80,112,90,90,122,70,70,102,Valid - AUG to Oct 24,SPECIAL RATES,Indian,,
