tour_code,tour_title,nights,days,day,location,activity,Typical visit time
6N7DKNEBC,06 Nights_07 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,6,7,4,NUWARA ELIYA,St Clairs & Devon Waterfall,Morning
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,3,NUWARA ELIYA,Hanuman ji Temple,Morning
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,3,NUWARA ELIYA,Tea Factory and Tea Plantation,Evening
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,4,NUWARA ELIYA,Sita Amman Temple,Morning
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,4,NUWARA ELIYA,St Clairs & Devon Waterfall,Morning
8N9DKPNEGC,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAGALLE COLOMBO,8,9,3,NUWARA ELIYA,Hanuman ji Temple,Morning
8N9DKPNEGC,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAGALLE COLOMBO,8,9,3,NUWARA ELIYA,Tea Factory and Tea Plantation,Morning
8N9DKPNEGC,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAGALLE COLOMBO,8,9,4,NUWARA ELIYA,Haggala garden,Morning
8N9DKPNEGC,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAGALLE COLOMBO,8,9,4,NUWARA ELIYA,Sita Amman Temple,Evening
8N9DKPNEGC,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAGALLE COLOMBO,8,9,5,NUWARA ELIYA,St Clairs & Devon Waterfall ,Evening
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,4,NUWARA ELIYA,Hanuman ji Temple,Evening
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,4,NUWARA ELIYA,Tea Factory and Tea Plantation,Evening
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,5,NUWARA ELIYA,Sita Amman Temple,Morning
