tour_code,tour_title,nights,days,day,location,activity,Typical visit time
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,5,COLOMBO,COLOMBO city tour & Shopping ,Evening
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,6,COLOMBO,Departure Airport Drop,Morning
8N9DKPNEGC,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAGALLE COLOMBO,8,9,7,COLOMBO,COLOMBO city tour & Shopping ,Morning
8N9DKPNEGC,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAGALLE COLOMBO,8,9,8,COLOMBO,COLOMBO city tour & Shopping ,Morning
8N9DKPNEGC,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAGALLE COLOMBO,8,9,9,COLOMBO,Departure Airport Drop,Morning
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,1,COLOMBO,COLOMBO city tour & Shopping ,Evening
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,9,COLOMBO,Departure Airport Drop,Morning
7N8DHPKBC,07 Nights_08 Days_Habarana PINNAWELA KANDY BENTOTACOLOMBO,7,8,7,COLOMBO,COLOMBO city tour & Shopping ,Morning
7N8DHPKBC,07 Nights_08 Days_Habarana PINNAWELA KANDY BENTOTACOLOMBO,7,8,8,COLOMBO,Departure Airport Drop,Morning
5N6DSDPKNEY,05 Nights_06 Days_Sigirya DAMBULLA PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,6,COLOMBO,Departure Airport Drop,Morning
6N7DSPDKBC,06 Nights_07 Days_SIGIRIYA PINNAWELA DAMBULLA PINNAWELA KANDY BENTOTACOLOMBO,6,7,6,COLOMBO,COLOMBO city tour & Shopping ,Morning
6N7DSPDKBC,06 Nights_07 Days_SIGIRIYA PINNAWELA DAMBULLA PINNAWELA KANDY BENTOTACOLOMBO,6,7,7,COLOMBO,Departure Airport Drop,Morning
7N8DDKNEB,07 Nights_08 Days_DAMBULLA KANDY NUWARA ELIYABENTOTA,7,8,8,COLOMBO,Departure Airport Drop,Morning
7N8DKNEYBC,07 Nights_08 Days _KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,7,8,7,COLOMBO,COLOMBO city tour & Shopping ,Morning
7N8DKNEYBC,07 Nights_08 Days _KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,7,8,8,COLOMBO,Departure Airport Drop,Morning
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,10,COLOMBO,COLOMBO city tour & Shopping ,Morning
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,11,COLOMBO,Lotus Tower,Morning
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,11,COLOMBO,Zoo,Morning
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,11,COLOMBO,Gangarama Temple,Morning
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,12,COLOMBO,Water theme Park ,Evening
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,13,COLOMBO,Departure Airport Drop,Morning
4N5DHDKSNE,04 Nights_05 Days_Habarana DAMBULLA KANDY SIGIRIYA NUWARA ELIYA,4,5,1,DAMBULLA,DAMBULLA cave Temple,Evening
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,3,DAMBULLA,DAMBULLA cave Temple,Morning
7N8DHPKBC,07 Nights_08 Days_Habarana PINNAWELA KANDY BENTOTACOLOMBO,7,8,1,DAMBULLA,DAMBULLA cave Temple,Evening
5N6DSDPKNEY,05 Nights_06 Days_Sigirya DAMBULLA PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,1,DAMBULLA,DAMBULLA cave Temple,Evening
6N7DSPDKBC,06 Nights_07 Days_SIGIRIYA PINNAWELA DAMBULLA PINNAWELA KANDY BENTOTACOLOMBO,6,7,1,DAMBULLA,DAMBULLA cave Temple,Evening
7N8DDKNEB,07 Nights_08 Days_DAMBULLA KANDY NUWARA ELIYABENTOTA,7,8,1,DAMBULLA,DAMBULLA cave Temple,Evening
7N8DDKNEB,07 Nights_08 Days_DAMBULLA KANDY NUWARA ELIYABENTOTA,7,8,2,DAMBULLA,SIGIRIYA Rock Fortress,Morning
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,1,DAMBULLA,DAMBULLA cave Temple,Evening
4N5DKNEBC,04 Nights_05 Days_KANDY Nuwaraeliya BENTOTACOLOMBO City Tour,4,5,4,GALLE,GALLE Day Excursion ,Morning
4N5DHYGC,04 Night_05 Days_HAMBANTOTA YALA GALLE COLOMBO,4,5,3,GALLE,GALLE City tour,Morning
4N5DHYGC,04 Night_05 Days_HAMBANTOTA YALA GALLE COLOMBO,4,5,3,GALLE,Turtle Hatchery,Evening
5N6DPKNEYB,05 Nights_06 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,5,GALLE,GALLE Day Excursion ,Morning
5N6DPKNEYB,05 Nights_06 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,5,GALLE,GALLE Fortress ,Morning
6N7DPKNEYBC,06 Nights_07 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,6,7,5,GALLE,GALLE City tour,Morning
8N9DKPNEGC,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAGALLE COLOMBO,8,9,6,GALLE,GALLE City tour,Morning
7N8DHPKBC,07 Nights_08 Days_Habarana PINNAWELA KANDY BENTOTACOLOMBO,7,8,6,GALLE,GALLE Day Excursion ,Morning
5N6DSDPKNEY,05 Nights_06 Days_Sigirya DAMBULLA PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,5,GALLE,GALLE City tour,Morning
5N6DSDPKNEY,05 Nights_06 Days_Sigirya DAMBULLA PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,5,GALLE,GALLE Fortress ,Morning
6N7DSPDKBC,06 Nights_07 Days_SIGIRIYA PINNAWELA DAMBULLA PINNAWELA KANDY BENTOTACOLOMBO,6,7,4,GALLE,GALLE Fortress ,Evening
7N8DKNEYBC,07 Nights_08 Days _KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,7,8,5,GALLE,GALLE City tour,Evening
7N8DKNEYBC,07 Nights_08 Days _KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,7,8,6,GALLE,Water Sports Activity,Morning
12N13DHPKNEBC,12 Nights_13 Days_Habarana Pinnwela KANDY NUWARA ELIYABENTOTACOLOMBO,12,13,8,GALLE,GALLE Day Excursion ,Morning
7N8DHPKBC,07 Nights_08 Days_Habarana PINNAWELA KANDY BENTOTACOLOMBO,7,8,1,Habarana,Elephant Orphanage,Morning
4N5DHYGC,04 Night_05 Days_HAMBANTOTA YALA GALLE COLOMBO,4,5,1,HAMBANTOTA,Leisure at the hotel,Evening
4N5DHYGC,04 Night_05 Days_HAMBANTOTA YALA GALLE COLOMBO,4,5,2,HAMBANTOTA,YALA National Park,Morning
4N5DHYGC,04 Night_05 Days_HAMBANTOTA YALA GALLE COLOMBO,4,5,2,HAMBANTOTA,Kataragama Temple,Evening
4N5DKNEBC,04 Nights_05 Days_KANDY Nuwaraeliya BENTOTACOLOMBO City Tour,4,5,1,KANDY,PINNAWELA Elephant Orphanage,Morning
4N5DKNEBC,04 Nights_05 Days_KANDY Nuwaraeliya BENTOTACOLOMBO City Tour,4,5,1,KANDY,Cultural dance show ,Evening
4N5DKPNEC,04 Nights_05 Days_KANDYPINNAWELA NUWARA ELIYACOLOMBO,4,5,1,KANDY,PINNAWELA Elephant Orphanage,Morning
4N5DKPNEC,04 Nights_05 Days_KANDYPINNAWELA NUWARA ELIYACOLOMBO,4,5,1,KANDY,Cultural dance show ,Evening
4N5DKPNEC,04 Nights_05 Days_KANDYPINNAWELA NUWARA ELIYACOLOMBO,4,5,2,KANDY,KANDY Temple,Morning
4N5DKPNEC,04 Nights_05 Days_KANDYPINNAWELA NUWARA ELIYACOLOMBO,4,5,2,KANDY,Gem Museum,Evening
4N5DHDKSNE,04 Nights_05 Days_Habarana DAMBULLA KANDY SIGIRIYA NUWARA ELIYA,4,5,2,KANDY,KANDY Temple ,Evening
4N5DHDKSNE,04 Nights_05 Days_Habarana DAMBULLA KANDY SIGIRIYA NUWARA ELIYA,4,5,2,KANDY,Cultural dance show ,Evening
4N5DHDKSNE,04 Nights_05 Days_Habarana DAMBULLA KANDY SIGIRIYA NUWARA ELIYA,4,5,3,KANDY,Peradeniya Botanical Gardens,Morning
4N5DHDKSNE,04 Nights_05 Days_Habarana DAMBULLA KANDY SIGIRIYA NUWARA ELIYA,4,5,3,KANDY,Gem Museum,Evening
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,1,KANDY,PINNAWELA Elephant Orphanage,Morning
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,1,KANDY,Cultural dance show ,Evening
5N6DPKNEYB,05 Nights_06 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,1,KANDY,PINNAWELA Elephant Orphanage,Morning
5N6DPKNEYB,05 Nights_06 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,1,KANDY,KANDY Temple,Evening
5N6DPKNEYB,05 Nights_06 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,1,KANDY,Cultural dance show ,Evening
5N6DPKNEYB,05 Nights_06 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,2,KANDY,Peradeniya Botanical Gardens,Morning
5N6DPKNEYB,05 Nights_06 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,2,KANDY,KANDY Upper lake drive,Morning
5N6DPKNEYB,05 Nights_06 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,2,KANDY,Gem Museum,Evening
6N7DPKNEYBC,06 Nights_07 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,6,7,1,KANDY,PINNAWELA Elephant Orphanage,Morning
6N7DPKNEYBC,06 Nights_07 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,6,7,2,KANDY,KANDY Temple,Morning
6N7DPKNEYBC,06 Nights_07 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,6,7,2,KANDY,Cultural dance show ,Evening
6N7DPKNEYBC,06 Nights_07 Days_PINNAWELA KANDY NUWARA ELIYAYALA BENTOTACOLOMBO,6,7,2,KANDY,Upper lake drive ,Evening
7N8DKPNEBC,07 Nights_08 Days_KANDY PINNAWELA NUWARA ELIYABENTOTACOLOMBO,7,8,1,KANDY,Cultural dance show ,Evening
7N8DKPNEBC,07 Nights_08 Days_KANDY PINNAWELA NUWARA ELIYABENTOTACOLOMBO,7,8,2,KANDY,KANDY Temple,Morning
7N8DKPNEBC,07 Nights_08 Days_KANDY PINNAWELA NUWARA ELIYABENTOTACOLOMBO,7,8,2,KANDY,Peradeniya Botanical Gardens,Morning
7N8DKPNEBC,07 Nights_08 Days_KANDY PINNAWELA NUWARA ELIYABENTOTACOLOMBO,7,8,2,KANDY,Gem Museum,Evening
6N7DKNEBC,06 Nights_07 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,6,7,1,KANDY,PINNAWELA Elephant Orphanage,Morning
6N7DKNEBC,06 Nights_07 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,6,7,1,KANDY,Cultural dance show ,Evening
6N7DKNEBC,06 Nights_07 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,6,7,2,KANDY,KANDY Temple ,Morning
6N7DKNEBC,06 Nights_07 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,6,7,2,KANDY,Peradeniya Botanical Gardens,Morning
6N7DKNEBC,06 Nights_07 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,6,7,2,KANDY,Gem Museum,Evening
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,1,KANDY,Cultural dance show ,Evening
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,2,KANDY,KANDY Temple ,Morning
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,2,KANDY,Peradeniya Botanical Gardens,Morning
5N6DKNEBC,05 Nights_06 Days_KANDY NUWARA ELIYABENTOTACOLOMBO,5,6,2,KANDY,Gem Museum,Evening
8N9DKPNEGC,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAGALLE COLOMBO,8,9,1,KANDY,PINNAWELA Elephant Orphanage,Morning
8N9DKPNEGC,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAGALLE COLOMBO,8,9,1,KANDY,Cultural dance show ,Evening
8N9DKPNEGC,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAGALLE COLOMBO,8,9,2,KANDY,KANDY Temple,Morning
8N9DKPNEGC,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAGALLE COLOMBO,8,9,2,KANDY,Peradeniya Botanical Gardens,Evening
8N9DKPNEGC,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAGALLE COLOMBO,8,9,2,KANDY,Gem Museum,Evening
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,2,KANDY,KANDY Temple,Evening
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,2,KANDY,Cultural dance show ,Evening
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,3,KANDY,Spice Garden,Evening
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,4,KANDY,Peradeniya Botanical Gardens,Morning
8N9DKPNEYB,08 Nights_09 Days_KANDY PINNAWELA NUWARA ELIYAYALA BENTOTA,8,9,4,KANDY,Gem Museum,Morning
7N8DHPKBC,07 Nights_08 Days_Habarana PINNAWELA KANDY BENTOTACOLOMBO,7,8,3,KANDY,Spice Garden,Morning
7N8DHPKBC,07 Nights_08 Days_Habarana PINNAWELA KANDY BENTOTACOLOMBO,7,8,3,KANDY,KANDY Temple,Morning
7N8DHPKBC,07 Nights_08 Days_Habarana PINNAWELA KANDY BENTOTACOLOMBO,7,8,3,KANDY,Gem Museum,Evening
7N8DHPKBC,07 Nights_08 Days_Habarana PINNAWELA KANDY BENTOTACOLOMBO,7,8,3,KANDY,Cultural dance show ,Evening
7N8DHPKBC,07 Nights_08 Days_Habarana PINNAWELA KANDY BENTOTACOLOMBO,7,8,4,KANDY,Peradeniya Botanical Gardens,Evening
7N8DHPKBC,07 Nights_08 Days_Habarana PINNAWELA KANDY BENTOTACOLOMBO,7,8,4,KANDY,KANDY City tour ,Morning
5N6DSDPKNEY,05 Nights_06 Days_Sigirya DAMBULLA PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,1,KANDY,PINNAWELA Elephant Orphanage,Morning
5N6DSDPKNEY,05 Nights_06 Days_Sigirya DAMBULLA PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,2,KANDY,SIGIRIYA Rock Fortress,Morning
5N6DSDPKNEY,05 Nights_06 Days_Sigirya DAMBULLA PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,2,KANDY,Spice Garden,Evening
5N6DSDPKNEY,05 Nights_06 Days_Sigirya DAMBULLA PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,2,KANDY,KANDY Temple,Evening
5N6DSDPKNEY,05 Nights_06 Days_Sigirya DAMBULLA PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,2,KANDY,Cultural dance show ,Evening
5N6DSDPKNEY,05 Nights_06 Days_Sigirya DAMBULLA PINNAWELA KANDY NUWARA ELIYAYALA BENTOTA,5,6,3,KANDY,Peradeniya Botanical Gardens,Morning
